unique_id,asin,product_name,product_type,helpful,rating,title,date,reviewer,reviewer_location,review_text
"B0007QCQA4:good_sneakers:christopher_w._damico_""macman""",B0007QCQA4,adidas Originals Men's Superstar II Basketball Shoe: Apparel,apparel,0 of 1,4.0,GOOD SNEAKERS,"July 15, 2006","Christopher W. Damico ""MACMAN""",NYC,GOOD LOOKING KICKS IF YOUR KICKIN IT OLD SCHOOL LIKE ME. AND COMFORTABLE. AND RELATIVELY CHEAP. I'LL ALWAYS KEEP A PAIR OF STAN SMITH'S AROUND FOR WEEKENDS
"B0002Y2JYY:pretty_good:sharon_civile_""jackbauerfreak""",B0002Y2JYY,Elite Metal Aviator Sunglasses with Mirror Lens - 1375: Apparel,apparel,3 of 5,4.0,Pretty Good,"August 13, 2006","Sharon Civile ""Jackbauerfreak""","Philadelphia, PA","These sunglasses are all right. They were a little crooked, but still cool.."
"B0002X9A5G:can't_go_wrong_at_this_price:j._gould_""south_paw712""",B0002X9A5G,5-Pack Bodysuits: Apparel,apparel,1 of 1,5.0,Can't go wrong at this price,"May 18, 2006","J. Gould ""south_paw712""",KY,I don't see the difference between these bodysuits and the more expensive ones.  Fits my boy just right
B0002X9A5G:green!:s._feldman,B0002X9A5G,5-Pack Bodysuits: Apparel,apparel,0 of 1,5.0,Green!,"February 28, 2006",S. Feldman,"Virginia, United States","Very nice basic clothing.  I think the size is fine.  I really like being able to find these shades of green, though I have decided the lighter shade is really a feminine color.  This is the only brand that I can find these muted greens"
B0006UHRJQ:perfect!:amanda_kathleen,B0006UHRJQ,3-Pack Straight Edge (non-skid) Socks: Apparel,apparel,8 of 8,5.0,perfect!,"December 15, 2005",Amanda Kathleen,"Delaware, USA",I love these socks. They fit great (my 15 month old daughter has thick ankles) and she can zoom around on the kitchen floor and not take a nose dive into things. :
"B0006ZAV4O:lycra_splice_solid_swimsuit:m._j._payne_""shark""",B0006ZAV4O,Speedo Women's Lycra Quantum Splice Solid Swim Suit: Apparel,apparel,11 of 11,5.0,lycra splice solid swimsuit,"February 27, 2006","M. J. Payne ""shark""","rochester, ny",Finally I have found a quality brand of swimsuit I can order on line and know it will fit.  I'm a daily swimmer who is long-bodied.  This particular style fit great when it arrived; it arrived quickly within four days; shipping was free; and the lycra material is the most resilient I know given the chlorine bashing my suits get.  Please continue to sell this particular item at a price lower than the sports stores.  Thanks!!
"B00012BBB4:tyr_swimsuit:""micheleharcourt""",B00012BBB4,TYR Grab bag Female Suit: Apparel,apparel,0 of 5,5.0,TYR Swimsuit,"April 2, 2004","""micheleharcourt""",Arizona,Your company was a pleasure to work with- thanks!  I will enjoy wearing the swimsuit that I ordered
"B000694I76:great_player:real_nurse_""campingwalker7""",B000694I76,Case Logic Portable DVD Player Kit: Apparel,apparel,,5.0,great player,"November 15, 2006","real nurse ""campingwalker7""","northville,ny,usa",very portable. great picture. easy to operate. all the accessories you need. great sound. playes dvd's from sony camcorder. very happy with the system. am looking forward to using this camping and on vacation.
B000BOQWGG:these_are_my_first_chinese_doc_martens:simpcity,B000BOQWGG,Dr. Martens Unisex 5 Eye Padded Collar: Apparel,apparel,,5.0,these are my first Chinese Doc Martens,"July 22, 2006",simpcity,Great Basonia,"I have been looking for a pair of Docs for a while. I know they are a new globalized company, and I am not necessarily against that.

I am disappointed that you can't get a better range of colors. I've had a few blue pairs and a lovely green. But colors are not really available now except on high tops emblazoned with the brand name. An abomination for sure!

These shoes are very comfortable and apparently well-made. My single quibble with the black pair I got here on amazon has to do with the flimsiness of the tongue. I like a nice strong tongue. (And who doesn't?) Whatever they saved on material here may have been a mistake. On the other hand, maybe the sole will wear out first (or it will be a dead heat).

Never thought I'd buy shoes online, but amazon and the Doctor made it happen."
"B000651E5O:i_bought_2_of_these_for_my_vacation....:melodye_""merri""",B000651E5O,Maxam Genuine Lambskin Leather Belt Bag: Apparel,apparel,17 of 17,5.0,I bought 2 of these for my vacation....,"September 16, 2005","Melodye ""Merri""","South Holland, Il","The quality is much better than expected. I bought one for myself and one for my husband prior to our Las Vegas trip Sept. 6, 2005. We were able to walk with or hands free because these fannypacks held all of the necessities, our cell phones, travelers checks, keys, and medicines in particular. We love the spacious divided compartments. I highly reccommend this product.."
B0009OTGE8:just_as_i_expected:kathleen_b._chagnard,B0009OTGE8,Bill Blass Men's Dress Shirt with Fashion Pointed Collar: Apparel,apparel,,5.0,Just as I expected,"March 14, 2006",Kathleen B. Chagnard,Florida Panhandle,Nice shirt. Well made. Good price. What more can I say
B0009OTGE8:bill_blass_shirts:richard_h._pontone,B0009OTGE8,Bill Blass Men's Dress Shirt with Fashion Pointed Collar: Apparel,apparel,,5.0,Bill Blass shirts,"March 2, 2006",Richard H. Pontone,"Brooklyn,NY",The shirts are what I had asked for.  They are sturdy and well made.  I would buy more if I needed more.  Well worth the money spen
B0002YIHM2:these_maintained_my_virtuous_self....:sister_golden_hair,B0002YIHM2,Breast Petals by Fashion Forms Style 55x in Nude.: Apparel,apparel,6 of 7,5.0,These maintained my virtuous self....,"August 22, 2005",Sister Golden Hair,"New York, NY","I love wearing those tank tops with shelf bras or summer dresses that can't be worn with a bra...but the nipple issue was quite vexing. I didn't feel comfortable with any nip protrusion...the only disadvantage in having implants is that they tend to be a bit nipply. But, problem solved. These things rock"
B00012BBB4:great_service_and_quality:k._smith,B00012BBB4,TYR Grab bag Female Suit: Apparel,apparel,3 of 5,5.0,great service and quality,"February 11, 2005",K. Smith,Virginia,I was having a hard time finding a cheaper swim suit so I just ordered one from the grab bag.  I figured nothing could be worse than my plain black swim suit.  Also the swim suit was delivered in half the time that it was expected
B0009EK60Q:i'ts_very_catchy:fahad_alshahman,B0009EK60Q,Gold Rock Candy Watch: Apparel,apparel,1 of 1,5.0,I'ts very catchy,"February 23, 2006",Fahad Alshahman,,It's golden color is very remarkable ..It looks like real gold..wonderful piece to have
"B0007QCQA4:still_great_shoes!:j._sherer_""jeff45acp""",B0007QCQA4,adidas Originals Men's Superstar II Basketball Shoe: Apparel,apparel,,5.0,Still great shoes!,"August 21, 2006","J. Sherer ""Jeff45ACP""",South Carolina,"  With a good selection of colors to go with the casual style, to say I love these shoes is an understatement. They are very comfortable, and have grown on me so much, they are about the only casual style shoes I have bought in the past few years"
B000085HYN:leather_key_case:james_henry,B000085HYN,Fossil - Accessories - Chicago Key Case - Leather Key Case (Color: Black): Apparel,apparel,5 of 5,5.0,Leather key case,"July 25, 2006",James Henry,San Diego,A difficult item to find in department stores.  Found some at twice the price in a leather goods store.  The Fossil leather key cases were of equal quality.  I purchased two and am very satisfied
"B000651E5O:i_bought_2_of_these_for_my_vacation....:melodye_""merri""",B000651E5O,Maxam Genuine Lambskin Leather Belt Bag: Apparel,apparel,17 of 17,5.0,I bought 2 of these for my vacation....,"September 16, 2005","Melodye ""Merri""","South Holland, Il","The quality is much better than expected. I bought one for myself and one for my husband prior to our Las Vegas trip Sept. 6, 2005. We were able to walk with or hands free because these fannypacks held all of the necessities, our cell phones, travelers checks, keys, and medicines in particular. We love the spacious divided compartments. I highly reccommend this product.."
"B00007LBZR:mens_collar_stays_for_dress_shirts_review:carol_burnett_""cb""",B00007LBZR,Mens Collar Stays for Dress Shirts: Apparel,apparel,2 of 3,5.0,Mens Collar Stays for Dress Shirts Review,"November 15, 2005","Carol Burnett ""CB""","Tokyo, Japan","The collar stays are great!  They came in a convenient little container, and now I'm not searching all over the laundry room floor for the collar stays that fell out of my husband's dress shirts.  The different lengths were helpful because he has different style shirts, and the collar stays came very quickly"
B000B5S85I:who_sewed_this?:lindolfo_meira,B000B5S85I,Vintage Fatigue Style Cap (with or without Star) Many Colors Available: Apparel,apparel,,4.0,Who sewed this?,"November 9, 2006",Lindolfo Meira,"Porto Alegre, RS Brazil","Okay, this cap is really stylish. But I think the sewing isn't quite finished. There were loose threads all over my caps when I got them. Not to mention the parts that weren't even sewed... no threads at all"
"B0002YIHM2:great_addition_to_your_wardrobe!:elizabeth_silverman_""eli""",B0002YIHM2,Breast Petals by Fashion Forms Style 55x in Nude.: Apparel,apparel,6 of 6,5.0,Great addition to your wardrobe!,"November 30, 2005","Elizabeth Silverman ""Eli""","Orange County, CA","I bought some of these to wear with a drapey shirt cut open  nearly to the waist, and these little covers made me feel way more confident that even if my shirt slipped a little, nobody would be able to see anything. The nude ones were practically the same color as my skin, so they were perfect. They also stopped any embarrasing reactions to the cold. The best part was, they didn't feel weird at all"
"B0002Y2JYY:great_aviators:steven_kyle_benton_""ace""",B0002Y2JYY,Elite Metal Aviator Sunglasses with Mirror Lens - 1375: Apparel,apparel,,5.0,Great aviators,"November 6, 2006","Steven Kyle Benton ""Ace""",Trumann AR,"These are some really good glasses.  Plenty dark, full mirrored so you won't be caught checkin out all the ladies you walk by.  Shoot, for $18 you can't go wrong.  I highly recommend them.  And since I'm a pilot, it was obvious that I got a pair of these"
"B0002ZD9Y2:wonderful_product:s._skaggs_""sue""",B0002ZD9Y2,Spanx Footless Body Shaping Pantyhose Hosiery: Apparel,apparel,3 of 3,5.0,Wonderful product,"August 19, 2006","S. Skaggs ""Sue""","Memphis, TN",I found these at Lane Bryant and I absolutely love them! I wear them under my work clothes every day. You've got to try them
"B000H9AJ3C:crocs_are_versatile,_tough_&_long_lasting.:j._rockafellow_""busyjr""",B000H9AJ3C,"Kids ""Cayman"" Crocs: Apparel",apparel,,5.0,"CROCS are versatile, tough & long lasting.","April 13, 2007","J. Rockafellow ""busyjr""","DOBBS FERRY, NY United States","About 18-24 months ago, we purchased a pair of beach CROCS for our daughter, child-toddler size 12-13, like those pictured. She has used them for the beach, around the pool, wearing them to school on non-gym days, going on non-strenuous walks, and so forth. Plus, we have used them as a floating throw toy at motel swimming pools. Even though her shoe size is now 1 to 1-1/2, she still wears them. And, the shoes are in good shape! Also, daughter's mother has been wearing her own pair, for similar uses, for about two years. So, we highly recommend CROCS"
B000EBA29Y:amazing:,B000EBA29Y,"Chanel Women's Leather Shoulder Bag with Chain Handle, Mustard: Apparel",apparel,,5.0,Amazing,"February 4, 2007",,,"I got this handbag for my 14th birthday and I looove it so much!!It is so perfect, the best chanel handbag there is. Everyone that saw my new handbag loved it and asked where I bought. I actually bought it at nordstrom. Everyone should have one!!BUY IT"
B0006OT2FO:my_favorite_sleep_tee_ever!:n._g._mackie,B0006OT2FO,"Long Sleep Tee, 50"" long, XL-3X: Apparel",apparel,3 of 3,5.0,My Favorite Sleep Tee EVER!,"October 24, 2006",N. G. Mackie,,"I can only ditto what the other 5-star reviewers have already said. I have 1 of the 41"" for summer and now 2 of the 50"" for fall and winter. The colors remain solid after mutiple washes, and the price is great for the quality of these sleep shirts. Also very comfortable. Highly recommend! ngmackie, Dunwoody, GA"
B000BPMLJC:fantastic_shoe_for_bunions:bunion_+_hot_foot_guy,B000BPMLJC,Tsubo Men's Rhiz Athleisure Shoe: Apparel,apparel,3 of 3,5.0,fantastic shoe for bunions,"November 16, 2006",bunion + hot foot guy,"baltimore, md  usa",must have shoe for bunion and hammertoe sufferers. i also have very hot sweaty feet and these are an excellent choice if you share these problems. very large toe box and excellent webbing for ventilation.  very good looking comfortable shoes .  only qualification is that if you stand on your feet all day or do a lot of walking you may want to pick a shoe with more support --these are very lightweight shoes but lack the support a heavier athletic shoe would offer-- but those type of shoes are usually harder on bunions and my feet get extremely hot in them
"B000A2LI6I:makes_a_perfect_gift!:carolyn_baer_""carolyn_baer""",B000A2LI6I,Cabin Cuddler-The Travel / Home Blanket with a Pocket for your Feet!: Apparel,apparel,9 of 9,5.0,Makes a perfect gift!,"October 14, 2005","Carolyn Baer ""Carolyn Baer""","Nairobi, Kenya","My mother is an avid world traveler and is quite particular about how she travels. So, I bought her the cabin cuddler for her birthday and she loves it! And I quote ""It is practical and functional and makes a huge difference (re: comfort) for those long international flights."" Big hit! "
