unique_id,asin,product_name,product_type,helpful,rating,title,date,reviewer,reviewer_location,review_text
"B00085FIPO:size_runs_big:j._gould_""south_paw712""",B00085FIPO,3-Pack Baby Shorts: Apparel,apparel,1 of 1,4.0,Size runs big,"May 18, 2006","J. Gould ""south_paw712""",KY,My son is now over 12lbs at 6 weeks and these shorts still look like capris on him.  They do run on the big side but are cute
B0007QCPAA:there_isn't_a_more_comfortable_tennis/casual_shoe:hannibal_lector,B0007QCPAA,adidas Men's Smith Millennium Tennis Shoe: Apparel,apparel,,5.0,There isn't a more comfortable tennis/casual shoe,"November 13, 2005",Hannibal Lector,Jersey,made PERIOD!!. The leather on this shoe is glove soft and the sole is like a featherbed. I always enjoyed adidas tennis sneakers over the years but this is the only sneaker that allows me to serve and volley with comfort and agility as if I was floating across the court. THey just look cool to. I look forward to buying 2 more pairs as back ups and tryingthe stan smith II as well. JUst try these you will love em'
B0008DJTL0:a_great_running_shoe:xinyu_li,B0008DJTL0,adidas Originals Men's Adi Speed Suede Running Shoe: Apparel,apparel,1 of 1,5.0,A great running shoe,"November 14, 2006",Xinyu Li,,"Adidas traditional running shoe, suede, nice touch feeling. Great quality. It is quite green with less white (3 stripes)."
B00006LZYJ:delighted_to_have_the_same_convenience_to_purchase_apparels:peter_ekanem,B00006LZYJ,Melton Shoe by Johnston & Murphy: Apparel,apparel,0 of 4,5.0,Delighted to have the same convenience to purchase apparels,"November 4, 2002",Peter Ekanem,"Monterey, CA United States",Thank you for these new line of offerings. Some us that prefer the convenience of online shopping due to busy schedules can now keep up with our fashion tastes without the inconvenience of finding time to go to the malls
B000B5S85I:who_sewed_this?:lindolfo_meira,B000B5S85I,Vintage Fatigue Style Cap (with or without Star) Many Colors Available: Apparel,apparel,,4.0,Who sewed this?,"November 9, 2006",Lindolfo Meira,"Porto Alegre, RS Brazil","Okay, this cap is really stylish. But I think the sewing isn't quite finished. There were loose threads all over my caps when I got them. Not to mention the parts that weren't even sewed... no threads at all"
"B000B5S85I:great_product...:ben_kwok_""oracle""",B000B5S85I,Vintage Fatigue Style Cap (with or without Star) Many Colors Available: Apparel,apparel,,4.0,Great product...,"November 3, 2006","Ben Kwok ""oRaCLe""","Alhambra, CA USA","Great product. I got exactly what I wanted. I would give it 5 stars, but they didn't have the dark brown you see in the picture. Instead I got a Khaki color. I was very happy with their service and prompt reply. Just make sure they have the color you want."
B000B5S85I:great_service:leida_maldonado,B000B5S85I,Vintage Fatigue Style Cap (with or without Star) Many Colors Available: Apparel,apparel,0 of 1,5.0,Great Service,"October 16, 2006",Leida Maldonado,"Manati, Puerto Rico","Product is great, perfect fit and cool style. The package arrived well on time"
B000B5S85I:comfy:c._j._ward,B000B5S85I,Vintage Fatigue Style Cap (with or without Star) Many Colors Available: Apparel,apparel,1 of 2,5.0,Comfy,"September 26, 2006",C. J. Ward,,Sweet cap if you like the style.  It fits well and is well made.  I love it
B000B5S85I:andrew_christian_should_always_be_one_of_you_fist_places_to_stop:a._aragon,B000B5S85I,Vintage Fatigue Style Cap (with or without Star) Many Colors Available: Apparel,apparel,2 of 4,5.0,Andrew Christian should always be one of you fist places to stop,"June 10, 2006",A. Aragon,"Denver, CO","Great style, quality products, and the prices are unbelievable!  Finally, some who has a great variety of clothes and XL hat sizes...  Andrew Christian is definitely at the top of my list"
B000B5S85I:cool_vintage_cap:sara_-_consultant_to_'goddess_worship'_&_'new__s_e_x__now'_dvds_&_the_book_'9_free_secrets_of_new_sensual_power,B000B5S85I,Vintage Fatigue Style Cap (with or without Star) Many Colors Available: Apparel,apparel,3 of 5,5.0,Cool Vintage Cap,"May 24, 2006",Sara - consultant to 'Goddess Worship' & 'New  S e x  Now' DVDs & the book '9 Free Secrets of New Sensual Power,,"Very stylish, this fashion is spreading at the moment. 
Don't forget to check the sizing chart first before you buy it. It's important. Cool cap"
B000B5S85I:cool_cat:d._j.,B000B5S85I,Vintage Fatigue Style Cap (with or without Star) Many Colors Available: Apparel,apparel,2 of 5,5.0,cool cat,"March 24, 2006",D. J.,,This hat fits good. It's cool and fashionable. You can wear it anywhere and I got a lot of compliments
"B000B5S85I:still_not_disppointed:kenneth_carter_""kenny_carter_'sirius_student""",B000B5S85I,Vintage Fatigue Style Cap (with or without Star) Many Colors Available: Apparel,apparel,1 of 3,5.0,Still not disppointed,"March 9, 2006","Kenneth Carter ""Kenny Carter 'Sirius Student""","Baltimore, MD","   The Vintage Fatigue Cap, is a great looking, great fitting (true to size) item.  I was very happy when my cap arrived and saw that it looked better than I had imagined (even though the advertisement picture provided was an excellent reproduction).
   The cap came within the specified time and was packeged to arrive in excellent condition.  
   Once again, I am very happy with a product that I ordered through Amazon and its vendor"
"B0007QCQA4:still_great_shoes!:j._sherer_""jeff45acp""",B0007QCQA4,adidas Originals Men's Superstar II Basketball Shoe: Apparel,apparel,,5.0,Still great shoes!,"August 21, 2006","J. Sherer ""Jeff45ACP""",South Carolina,"  With a good selection of colors to go with the casual style, to say I love these shoes is an understatement. They are very comfortable, and have grown on me so much, they are about the only casual style shoes I have bought in the past few years"
B0007QCQA4:durability_meets_affordability:kyle_mcauliffe,B0007QCQA4,adidas Originals Men's Superstar II Basketball Shoe: Apparel,apparel,1 of 1,5.0,Durability meets Affordability,"July 18, 2006",Kyle Mcauliffe,"Beverly Hills, MI USA","i had purchased these kicks three years ago for work purpose.  three years later i still wear them everyday.  my job is fairly labor intensive, so they have really taken a beating.  while they are still in decent shape and by far my most confortable shoe, i am ordering another pair or two from amazon.  cant wait to get my new pair to start breaking them in"
B0007QCQA4:adidas_superstar_ii:j._peterlin,B0007QCQA4,adidas Originals Men's Superstar II Basketball Shoe: Apparel,apparel,5 of 5,5.0,Adidas Superstar II,"September 29, 2005",J. Peterlin,USA,"The shoes are comfortable, the fit well and they seem to be standing up to wear and tear exceptionally well.  Also, Amazon.com is really easy and convinient to shop from"
"B00013MY14:swim_suit:frances_roper_""roperswim""",B00013MY14,Lane 4 Solid: Apparel,apparel,,4.0,swim suit,"August 12, 2006","Frances Roper ""roperswim""",Idaho,This suit was as expected. The lycra should hold up well in the pool
B00013MY14:good_products:s._xu,B00013MY14,Lane 4 Solid: Apparel,apparel,2 of 3,4.0,Good products,"March 9, 2006",S. Xu,"Memphis, TN","I ordered this swim suit recently, it arrived very quick,(with regualr shipping) and fit me very well, it's a better quality product compare to the speedo I bought from Sam's,  the only thing is they don't have size 34, I wear size 4 or size 6 cloth, so according to the chart, I suppose to order size 32, which is the largest available size, but I still feel it a little tie on me, maybe that 's the way professional swim wear suppose to be.
Overall, it's a good product"
"B00013MY14:nice,_simple_black_suit:lisa_bingham_""scrapbookgirl143""",B00013MY14,Lane 4 Solid: Apparel,apparel,4 of 6,4.0,"Nice, Simple black suit","September 11, 2005","Lisa Bingham ""ScrapbookGirl143""",Southern California,I like the suit and Lane4 shipped it to me in a timely manner. 
B00007LBZR:great_product:punch,B00007LBZR,Mens Collar Stays for Dress Shirts: Apparel,apparel,,5.0,Great product,"July 20, 2006",Punch,"Dallas, TX",The collar stays work well and the shipping was on par. I will consider ordering from this company again
"B00007LBZR:mens_collar_stays_for_dress_shirts_review:carol_burnett_""cb""",B00007LBZR,Mens Collar Stays for Dress Shirts: Apparel,apparel,1 of 2,5.0,Mens Collar Stays for Dress Shirts Review,"November 15, 2005","Carol Burnett ""CB""","Tokyo, Japan","The collar stays are great!  They came in a convenient little container, and now I'm not searching all over the laundry room floor for the collar stays that fell out of my husband's dress shirts.  The different lengths were helpful because he has different style shirts, and the collar stays came very quickly"
"B00007LBZR:mens_collar_stays_for_dress_shirts_review:carol_burnett_""cb""",B00007LBZR,Mens Collar Stays for Dress Shirts: Apparel,apparel,0 of 2,5.0,Mens Collar Stays for Dress Shirts Review,"November 15, 2005","Carol Burnett ""CB""","Tokyo, Japan","The collar stays are great!  They came in a convenient little container, and now I'm not searching all over the laundry room floor for the collar stays that fell out of my husband's dress shirts.  The different lengths were helpful because he has different style shirts, and the collar stays came very quickly"
"B00007LBZR:mens_collar_stays_for_dress_shirts_review:carol_burnett_""cb""",B00007LBZR,Mens Collar Stays for Dress Shirts: Apparel,apparel,0 of 2,5.0,Mens Collar Stays for Dress Shirts Review,"November 15, 2005","Carol Burnett ""CB""","Tokyo, Japan","The collar stays are great!  They came in a convenient little container, and now I'm not searching all over the laundry room floor for the collar stays that fell out of my husband's dress shirts.  The different lengths were helpful because he has different style shirts, and the collar stays came very quickly"
"B00007LBZR:mens_collar_stays_for_dress_shirts_review:carol_burnett_""cb""",B00007LBZR,Mens Collar Stays for Dress Shirts: Apparel,apparel,0 of 2,5.0,Mens Collar Stays for Dress Shirts Review,"November 15, 2005","Carol Burnett ""CB""","Tokyo, Japan","The collar stays are great!  They came in a convenient little container, and now I'm not searching all over the laundry room floor for the collar stays that fell out of my husband's dress shirts.  The different lengths were helpful because he has different style shirts, and the collar stays came very quickly"
