unique_id,asin,product_name,product_type,helpful,rating,title,date,reviewer,reviewer_location,review_text
B0009N4F6I:works_very_well:i_have_9_cats,B0009N4F6I,Wedgie Cup Holder: Automotive,automotive,1 of 1,5.0,Works very well,"August 19, 2006",I have 9 cats,Dela where?,I bought one today for my Mazda Tribute because I didn't like the built-in cup holders. It's actually very sturdy and fits very well.
B0009N4F6I:works_very_well:i_have_9_cats,B0009N4F6I,Wedgie Cup Holder: Automotive,automotive,1 of 1,5.0,Works very well,"August 19, 2006",I have 9 cats,Dela where?,I bought one today for my Mazda Tribute because I didn't like the built-in cup holders. It's actually very sturdy and fits very well.
"B000H6YXGY:well_worth_it!:elizabeth_arena_""shoppygirl""",B000H6YXGY,Black Magic Seven-Piece Deluxe Car Wash Kit: Automotive,automotive,,5.0,well worth it!,"January 1, 2007","Elizabeth Arena ""shoppygirl""",ny,"Has everything and more inside.
Great price concidering how much you get.
Literally has like $100 of stuff in it"
B000JVCE6S:very_good_value:n._commissaris,B000JVCE6S,Justin Case 46-Piece Ultimate Safety Kit - Black: Automotive,automotive,2 of 3,5.0,Very good value,"January 19, 2007",N. Commissaris,,Very thorough kit - seems to be a very good value for everything included. My husband really liked it
"B000CS7P1M:schumacher_ipd-1800:enoch_m._brooks_""e.m.b.""",B000CS7P1M,Schumacher IPD-1800 Jump Starter With Docking Station: Automotive,automotive,1 of 1,5.0,Schumacher IPD-1800,"March 11, 2007","Enoch M. Brooks ""E.M.B.""",,"Has the Power to get you back on the Road when the Battery fails.  I am sure it does more,  but at this time that is all that has been asked"
B000CS7P1M:great_product!_great_design!:jb,B000CS7P1M,Schumacher IPD-1800 Jump Starter With Docking Station: Automotive,automotive,9 of 9,5.0,Great Product! Great Design!,"January 9, 2007",JB,USA,"The reasons that I bought this charger is because it has a docking stations which can be used to charge and store the unit when not in use. After the charging is completed, the docking station will enter a ""floating charge"" mode to prevent overcharging. Some other charger need to be monitored carefully since overcharging can damage the battery. With this unit, I can just leave it and forget it... Also, this unit is small enough that my wife can use it to jumpstart her minivan. Some other multifunction charger are so heavy, you'd have to be a weightlifter to carry the thing."
B000CS7P1M:works_great!:petey,B000CS7P1M,Schumacher IPD-1800 Jump Starter With Docking Station: Automotive,automotive,9 of 10,5.0,Works great!,"March 22, 2006",Petey,"Westford, MA","I use this as an alternate 12V power source to power a 12V
air compressor and it is a great product! It can power a
Spot Light(15 watts/12V) for 12 hours. So it doesn't have a problem at all when I blow up tires, floats etc."
B0009JKI9K:still_going_strong_a_year_later:christopher_hafner,B0009JKI9K,RainX RX30228 28-Inch Weatherbeater Wiper Blade: Automotive,automotive,5 of 5,5.0,Still Going Strong a Year Later,"March 30, 2007",Christopher Hafner,"Seattle, WA USA","I'm really surprised at the negative reviews on these wipers. I bought two pairs of wipers just over a year ago, expecting I'd have the second pair as backup. I haven't needed the second pair - the first pair are still just like new - they don't squeak, chatter, or smear and are great for visibility. I live in Seattle, so it's not like I never use them either - we've been deluged by rain in the last year!

The only thing I can think is that maybe others are mistreating their wiper blades. Keep your windshield clean, and if the wipers are smearing, just wipe the cleaning edge off with a paper towel from time to time. That's not a problem with the blade, that's a problem with the cleanliness of your windshield and blade. Any wiper blade struggles when it's bogged down with dirt, pollen, and road grime.

I figure eventually I'll use my backup pair, but until then I'm happy"
B0009JKI9K:fantastic:minneapolis_jon,B0009JKI9K,RainX RX30228 28-Inch Weatherbeater Wiper Blade: Automotive,automotive,2 of 2,5.0,FANTASTIC,"January 17, 2007",Minneapolis Jon,"Minnepolis, MN United States",Worth the price as my window is ALWAYS clean. Just for a comparison I leave a new but lesser quality wiper on the passenger side. The difference is incredible.
"B0009JKI9K:great_blades:calvin_""kingxii""",B0009JKI9K,RainX RX30228 28-Inch Weatherbeater Wiper Blade: Automotive,automotive,1 of 1,5.0,Great Blades,"November 15, 2006","Calvin ""kingxii""",,"These are great blades, installation is very straight forward.  The only gripe I have about these blades is the contact of the blade and the windshield at the extreme right where it ceases to touch my windshield which is about a 1/2"", but the odd thing is that the tip does touch my windshield on the up stroke.  But it is so minor that it would not affect the rating at all since these blades has to fit onto so many different cars.  I guess there are no replacement for factory blades"
"B000IBN8KU:easy_to_install,_use_and_replace_batteries!:the_province_family",B000IBN8KU,Sylvania DOT-it Black Self-Adhesive Bright White LED Light (Pack of 2): Automotive,automotive,5 of 5,5.0,"EASY to install, use and REPLACE BATTERIES!","December 23, 2006",The Province Family,"Southern California, USA","You do NOT need to remove the adhesived back, despite the commentary by another ""reviewer"" -- the instructions explain how you can just take off the top portion to replace the batteries.

It is not a blindingly effective light, but it does work. The Dot-Its were recommend to us by folks on the Scion xb boards -- the light in the interior isn't suffcient. The Dot-Its work very well and fit nicely throughout dark spots. The adhesive is very strong."
"B000EBKG6S:backseat_organizer:car_girl_""cb""",B000EBKG6S,Backseat Pockets Organizer: Automotive,automotive,1 of 1,4.0,Backseat organizer,"February 21, 2007","Car Girl ""CB""","Wildomar, CA","Very nice product.  Holds lots of things - especially able to put full size pieces of paper in a zippered compartment, which is very useful for me. "
"B0006JO0XI:works_great_&_full_features_for_the_price!:d._yanarella_""dan_the_condo_man""",B0006JO0XI,Sunforce 60012 7 Amp Charge Controller: Automotive,automotive,4 of 4,5.0,WORKS GREAT & FULL FEATURES FOR THE PRICE!,"November 30, 2006","D. Yanarella ""Dan the Condo Man""",NY,"I hooked up a small 20 watt Solar System at my home. Bought this Sunforce 60012 7 amp Charge Controller and everything worked Great. The LED came on and the controller sent the power to the battery even in low cloudy days with no sun.  I saw some hype online about MorningStar's 'SunGuard SG-4' (& it's PWM) and it's fancy line graph showing how it was far superior to other controllers. Bought one for $27.oo and $11.oo shipping tacked on from another vendor), swapped it out with this SUNFORCE 60012 Controller hoping for a big improvement. Waited for morning... and put my volt meter on the system only to find the SunGuard SG-4 (with NO LED) was still sound asleep! Zero volts passing through it! So I immediately removed the SunGuard SG-4 and re-installed the SUNFORCE 60012 Charge Controller I purchased here from Amazon. Poof... back to producing 12 Volts from my solar panels and the hazy sky had no sign of sun. The SunGuard SG-4 is now on it's way to the local landfill... and the SUNFORCE 60012 has a permanent home in my home solar power system. Sunforce's LED is glowing and the Solar 12 Volts are flowing to my battery again. Stick with the SUNFORCE 60012 it is far superior and WORKS like it's supposed to. Call me old-fashioned... I think that's why I bought the SUNFORCE (& the 'SunGuard SG-4' ~ 4 amp w/ No LED )in the first place? # SUNFORCE 60012 7 amp Charge Controller #: Low price and High Quality and it actually does what it's supposed to do! ""Go figure..."" :-) 5 STARS!"
B0006JO0XI:charge_controller:r._gruber,B0006JO0XI,Sunforce 60012 7 Amp Charge Controller: Automotive,automotive,,4.0,Charge Controller,"November 4, 2006",R. Gruber,,The product really charges my two batteries and let me when they are getting low. Glad I brought the charger
B0001YLJBO:inexpensive_and_easy_to_use_-_works_as_promised:j._bennett,B0001YLJBO,Mr. Clean Starter Kit: Automotive,automotive,,5.0,Inexpensive and easy to use - Works as promised,"March 25, 2007",J. Bennett,Sunny California,"I am not trying for a show quality shine, just a nice clean car and drying with spots was always the issue for me outside the $6 wash. 

I liked this. I washed and watched dry two cars and a motorcycle in just the time it took to wet, wipe with soap, and rinse with the no spot setting. Worked great for the price."
"B0001YLJBO:try_this_on_your_home_windows!!:wisconsin_bumpkin_""bluekitty""",B0001YLJBO,Mr. Clean Starter Kit: Automotive,automotive,5 of 5,5.0,Try this on your home windows!!,"October 21, 2005","Wisconsin Bumpkin ""bluekitty""","Kendall, WI USA",I use this system on the outside of the windows of our home and love it.  I picked up a long handled sheepskin window washing tool and love the whole system.  Must do the windows when the sun is NOT  on them.  It has worked great now for two years. Inside of windows shine if you use a window cleaner and newspapers.  I thought the newspapers would not absorb the cleaner--but they work great.  Hope you find this as useful as I have.  Bluekitt
B0001YLJBO:great_product:adrian_vega,B0001YLJBO,Mr. Clean Starter Kit: Automotive,automotive,5 of 5,4.0,great product,"July 10, 2005",Adrian Vega,"Austin, TX USA",i think the people who give one stars aren't following the directions...wash your car at sunset and it dries perfectly (even in texas)...i don't think it really matters how you wash it; using the filtered water and not drying the car in the sun is what gives you no streaks or spots...the only problem i have is that it uses more soap than stated on the product...also the filter doesn't as long as i would like...this might be 'cause i was washing a van and not a smaller vehicle..
B0001YLJBO:excellent_results_-_easy_to_use:l._horn,B0001YLJBO,Mr. Clean Starter Kit: Automotive,automotive,1 of 1,4.0,Excellent results - Easy to Use,"July 8, 2005",L. Horn,Maine,"Simplifies car washing, as soap and water are contained in the easy to use sprayer. The best thing is the finish...eliminates the need for drying with chamois, etc. and leaves a streak-free spotless finish, especially on windows. I'm happy with it"
