unique_id,asin,product_name,product_type,helpful,rating,title,date,reviewer,reviewer_location,review_text
"B00007LB1E:very_cute_collection,_but_skip_the_mobile:lovebeingamommy",B00007LB1E,Koala Baby Musical Mobile - Locomotion: Baby,baby,2 of 2,2.0,"Very cute collection, but skip the mobile","July 18, 2005",Lovebeingamommy,"Los Angeles, CA","I registered for the entire Locomotion collection before my son was born and have been very happy with it. I love the theme, but the mobile was a big disappointment. It didn't fit the crib properly and although my husband tried to figure out a way to install it without any type of conversion kit available, he just couldn't attach it safely and we ended up returning it. Also, although the mobile matches the theme, I found that the colors weren't very stimulating.

We bought the Tiny Love Symphony In Motion Mobile instead and although the colors didn't match, our son got many months of enjoyment and stimulation out of it."
B00007LB1E:doesn't_fit_our_crib:mommy2boys,B00007LB1E,Koala Baby Musical Mobile - Locomotion: Baby,baby,2 of 4,2.0,Doesn't fit our crib,"June 16, 2005",Mommy2boys,"Ringgold, GA","Alas, we have the entire Locomotion set but the cute little mobile won't fit our sleigh-style crib.  I called Babies R Us to see about some sort of conversion kit, but there's no such thing.  I'll be returning it this weekend and getting some crib toys instead.  :-"
B00007LB1E:dangerous---hook_broke_off_and_mobile_fell_on_baby:csm,B00007LB1E,Koala Baby Musical Mobile - Locomotion: Baby,baby,2 of 4,1.0,dangerous---hook broke off and mobile fell on baby,"December 29, 2004",CSM,"Fairfax, VA","We bought this when our baby was born (6 months ago, only used it a few times until recently). He loves it now to get him to sleep. The problem lies in that at 4 am, my husband and I awake to hear the mobile playing...scares us to death since no one else should be around to start it. We go into the nursery and our child is holding it playing with the animals....the clip that holds the umbrella part had broken off, causing the mobile to fall on the baby. (He thought it was the funniest thing in the world, he was okay, thank God.) But the little plastic hook piece was in his hand. If you have a 6-month old child you know that they eat everything they can find. I thank God that he didnt put that in his mouth. It is a great soother for the baby, but be sure there are no defects every day! 

Like I said before, other than this, it has been great."
B00007LB1E:mobile_wont_fit_my_crib:jen,B00007LB1E,Koala Baby Musical Mobile - Locomotion: Baby,baby,4 of 5,2.0,Mobile wont fit my crib,"July 29, 2004",Jen,,"I think the mobile is very cute, but there is no way it will fit onto my crib properly. I tried attaching it in several differnt places. I am going to return it."
B00007LB1E:won't_fit_my_crib:laura,B00007LB1E,Koala Baby Musical Mobile - Locomotion: Baby,baby,6 of 7,1.0,Won't fit my crib,"May 10, 2004",Laura,"Monroe, GA United States",I've contacted the manufacturer... for an alternative way to hook to crib.  They were less than helpful.  I am thinking about returning the entire set I'm so disappointed
"B000095S69:smell_is_very_strong:j._marick_""olivia's_mommy""",B000095S69,Gerber Bare Basics Gift Set: Baby,baby,,1.0,Smell is very strong,"October 27, 2006","J. Marick ""Olivia's Mommy""","Battle Creek, MI",I don not like these washes at all. The scent is very very overpowering!!!!! I had to mix only a little of one with another unscented brand and it is still too strong. I do love the case though. It is sturdy and has lots of room
"B00006FWVG:hope_you_don't_mind_no_privacy:devin_b._hedge_""devinhedge""",B00006FWVG,Sony NTM-900 900 MHz BabycallÃ¯Â¿Â½ Nursery Monitor: Baby,baby,1 of 4,1.0,Hope you don't mind NO PRIVACY,"September 5, 2006","Devin B. Hedge ""devinhedge""","Sterling, VA United States","In order for a cordless monitor to have any privacy, you need it to be digital and use digital-spread-spectrum (DSS) technology. 900 Mhz is the best frequency for a baby monitor, though. Here's why: It is important for people to know that if you have a wireless network in your house, that it cannot share the same frequencies at any other 2.4 Ghz devices. This includes baby monitors and cordless telephones. The correct arrangement should be:
Baby Monitor: 900 Mhz Digital-Spread-Spectrum (DSS)
WiFi Netowrk: 2.4 Ghz
Cordless Telephone: 5.8 Ghz Digital-Spread-Spectrum (DSS"
B00006FWVG:lots_of_problems_with_the_receiver!!:r._williams,B00006FWVG,Sony NTM-900 900 MHz BabycallÃ¯Â¿Â½ Nursery Monitor: Baby,baby,2 of 2,2.0,Lots of problems with the receiver!!,"August 29, 2006",R. Williams,"San Diego, CA United States","We have had nothing but problems with the receiver.  We have it in our kitchen and it's no more than 30 feet from our son's bedroom.  Any time we walk near the receiver it beeps from loss of signal.  The beep is very annoying because it won't stop until you move out of the way.  If we open the fridge door it beeps also.  We've tried all the frequency combinations with no luck.  It is also very subsceptible to interference and makes loud crackling sounds, even at low volume, until you change the frequency.
When it works the sound quality is very good, although it is hard to lower the volume enough so at night you are not awakened by your child simply rolling over or babbling in their sleep. 
We recommend the Angelcare Movement Sensor and Monitor by Bebe Sounds.  The sound quality is great and it comes with a sensor pad that you place under your baby's mattress. It senses each time your baby takes a breath.  If there is no movement it sounds an alarm.  Great insurance against SIDS!"
"B00006FWVG:very_poor_range:andrew_c._flavell_""acflavell""",B00006FWVG,Sony NTM-900 900 MHz BabycallÃ¯Â¿Â½ Nursery Monitor: Baby,baby,1 of 1,1.0,Very poor range,"May 22, 2006","Andrew C. Flavell ""acflavell""","Tokyo, Japan","This monitor is only great if your house is smaller than our Tokyo apartment. Although the monitor is sensitive and clear, moving the receiver any more than 15 feet away from the transmitter results in intermittent and loud beeps indicating a loss of signal"
B00006FWVG:keep_searching!:buckieball,B00006FWVG,Sony NTM-900 900 MHz BabycallÃ¯Â¿Â½ Nursery Monitor: Baby,baby,11 of 12,2.0,Keep searching!,"May 1, 2006",Buckieball,"Denver, CO United States","We live in a 1.5 story home where the master is the only thing upstairs & my husband runs an ISP from home - LOTS of computers in the house, so we had to find a good monitor that would drown out the static of the electronics & outside world, but allow us to hear our little pip-squeek clearly.
At first I was thrilled the Sony when I used it downstairs during her daytime napping & loved that I could set it to voice-activated & only hear it when she's reallllly awake! But that night when we used it upstairs it kept picking up interferrence in the form of a loud static chirp after several hours of silence even though it was on voice-activated mode. I tried moving it several times, but finally ended up going back to the old FP sounds & lights one we had which really wasn't any better! (AND having to run up & down the stairs to try all the combinations of 9 channels on the receiver & transmitter of the Sony was a royal pain!)
 The next day I went to Target & found The First Years Digital 2.4ghz Monitor & what a difference! It was about the same price as the Sony, but it searches for a clear channel like your phone does. I was afraid it would interfere with out 2.4ghz phones, but after a week, no problems & we have NO static/interferrence! It's crystal clear no matter where in the house (hubby even took it into the computer room & was able to hear her wake up just fine!) I know everyone's environment is different, but the Sony definately didn't work for us"
"B0001CJ9XQ:not_a_safe_product!!!:sarah_d._""baby_nurse""",B0001CJ9XQ,Original Bundleme Khaki: Baby,baby,6 of 11,1.0,NOT A SAFE PRODUCT!!!,"March 8, 2006","Sarah D. ""Baby Nurse""","Boston, MA","This product is not a safe product and should not be used with your child. Not only does it give additional padding that was not intended, nor tested with your safety seat, but it also voids the warranty of the safety seat. NHTSA (National Highway Traffic & Safety Administration) is the government agency that sets standards for child safety seats and states that ""after-market products"" should not be used. It also does not meet FMVSS213 standards as stated in the manufacturer's description"
B000B7QM4U:daughter_screamed_bloody_murder:savanna's_mommy,B000B7QM4U,Graco Baby Einstein Play Yard: Baby,baby,0 of 8,1.0,Daughter screamed bloody murder,"May 30, 2006",Savanna's Mommy,Missouri,"We had to buy a new pack n play because our other one was coming apart. I chose this one because of its features and colors. My daughter hated this and screamed every time we put her in it. We tried for days to get her to use this, but she never would. So, we returned this and got a different that she absolutely loves."
"B0009EFYJE:einstein_didn't_have_a_babyplus....:new_mom_""jnearl""",B0009EFYJE,Baby Plus Prenatal Education System: Baby,baby,0 of 3,1.0,einstein didn't have a babyplus....,"March 4, 2006","new mom ""jnearl""",Bend OR,"I wore the baby plus with my first pregnancy.  I will say our child is a bright, out-going 8 month old now, but in the beginning she WAS colicky and a terrible napper! I thought this was a brilliant idea, but began to realize that many of the bright, gifted children I know didn't have exposure to this system.   It is loud to wear and not so comfortable.  You are instructed to wear it an hour at a time and can be quite maddening. Good luck if you choose to purchase, but just think, einstein was fine with out one"
