unique_id,asin,product_name,product_type,helpful,rating,title,date,reviewer,reviewer_location,review_text
B0002U1SFE:love_it!:a._kurczewski,B0002U1SFE,Baby Einstein Discover and Play Activity Center: Baby,baby,1 of 1,4.0,Love it!,"November 11, 2006",A. Kurczewski,"Detroit, MI",My daughter loves this activity center.  I wish they would change two things about it.  I wish we could change out the toys and it folded up
B0002U1SFE:great_entertainer_and_travels_well_too.....:b._bruno,B0002U1SFE,Baby Einstein Discover and Play Activity Center: Baby,baby,,5.0,Great entertainer and travels well too.....,"November 10, 2006",B. Bruno,"Orange, CA USA","I got this when my daughter was 4 months old.  She would sit in it for about 5 minutes, then want to get out.  But now that she is 6 1/2 months, she loves this and stays in it for about 30+ minutes and just entertains herself.  She has great coordination now and she loves to smack and grab the toys, and she coos at the little sun and loves to pull on everything and put it in her mouth.  When we go to family functions or just to someone's house, we always grab the entertainer.  It is very easy to break down and put right back together (if it doesn't fit in the car).  This by far is the best toy that she enjoys and LEARNS from.  She is quite tall for her age, 27 1/4 inches and we still have 2 more height adjustments on this.  This is the best $$$$ we have spent so far"
"B0002U1SFE:great_product:katie_stall_""parelli_savvy_mom""",B0002U1SFE,Baby Einstein Discover and Play Activity Center: Baby,baby,,4.0,Great product,"November 8, 2006","Katie Stall ""parelli savvy mom""","Cincinnati, OH USA","I purchased this toy for my son when he was 4 months old.  At first, he seemed a little intimidated by the toys, and would cry when I put him in it.  Once he got used to it, he really enjoyed it.  

Now he plays with all the toys, and he likes that it wobbles around.  His favorite toy seems to be the sun and the counting beads.  

I did not experience the problem with the feet that others wrote about.  Just lucky I guess.

The seat is really hard to remove for washing, which is why I gave it 4 stars instead of "
"B000BXC1AI:really_fun_for_baby..._peace_of_mind_for_mommy:jodi_owens_""sunnymomma""",B000BXC1AI,Deluxe Jumperoo: Baby,baby,,5.0,Really fun for baby... peace of mind for mommy,"October 8, 2006","Jodi Owens ""sunnymomma""","Southwest, FL USA","My son loved this!  I purchased this item because I was not comfortable with the idea of hanging something from a door frame.  I was nervous that the one that hangs from a door might somehow come down.  I felt that my baby was very safe in this and I could put it anywhere in the house that I was.  Once he was walking, he didn't use it again"
B000BXC1AI:best_buy:elliott's_mom,B000BXC1AI,Deluxe Jumperoo: Baby,baby,1 of 1,5.0,Best Buy,"October 5, 2006",Elliott's Mom,"Cincinnati, Ohio","We finally broke down and spent the money on the Jumperoo and were happy we did.  We have to limit the time our son spends in it because he'd jump for hours on end if we didn't limit him to 5-10 minutes a day.  The Jumperoo has sturdy construction, and the 4 settings are useful.  I was a bit concerned about the coils inside the fabric because I was afraid that our son would get his fingers pinched when he held it, but he's been fine.  He doesn't play with the toy attachment.  I think this is a much safer alternative to the jumpers that hang from the door frame"
"B000BXC1AI:fun_for_baby_but_loud_for_mommy:twin_mom_""twin_mom""",B000BXC1AI,Deluxe Jumperoo: Baby,baby,3 of 3,5.0,Fun for Baby but Loud for Mommy,"September 25, 2006","twin mom ""twin mom""",southern california,"I (and more importantly, my twin boys) really like this jumper.  It seems safer than the doorway jumper, mainly because their fingers won't get mushed.  I like that it has multiple height settings and that it's on a sturdy frame.  They love to jump in it, and before they were able to crawl, it was one of the few ways for them to get out some of that excess energy and get some exercise.  Plus, it's a nice safe place for times when I'd like to get something done without having to keep a constant eye on one of the babies.  

The cons (that wouldn't keep me from buying it again) are: it takes up more room than a doorway jumper, the rattly bear is pretty loud, and the music is obnoxious.  There is an on-off switch and two volume settings for the music, though"
B000095S69:a_great_gift_set!!!:new_mommy,B000095S69,Gerber Bare Basics Gift Set: Baby,baby,9 of 9,5.0,A Great Gift Set!!!,"March 28, 2006",New Mommy,Pennsylvania,"I received this Gerber gift set for my baby shower.  The products lather up really well and they smell great!  They are gentle and they don't make my daughter get a rash.  You get a lot of product for the price too.  My daughter really relaxes with the Lavender scent wash and lotion and we used the Menthol wash when she had a cold.  Now that my daughter is teething, she drools a lot which causes chapped skin on her cheeks and chin.  The moisturizing stick works great for this.  We love this gift set and would recommend it."
B000095S69:great_shower_gift:mommy_of_one,B000095S69,Gerber Bare Basics Gift Set: Baby,baby,4 of 4,5.0,Great shower gift,"March 19, 2006",Mommy of one,Chambersburg Pa 17201,"If you need a shower gift this is it! I got one and I love it...the Gerber products smell sooo good and are gentle enough for everyday bathing! Mt daughter loves to coo at the seal and loves the music cd that comes along with it.
I keep all of the ""out grown small bottles in the container and it works great~!
The lotion is good smelling but you can't beat Johnsons and johnstons pink stuff...also include a bottle of that and you will havev a very happy mom-to be!"
B00006FWVG:great_monitor_for_the_price:s._pourreza,B00006FWVG,Sony NTM-900 900 MHz BabycallÃ¯Â¿Â½ Nursery Monitor: Baby,baby,2 of 2,5.0,Great Monitor for the price,"July 31, 2006",S. Pourreza,maryland,"I picked this monitor after reading many reviews.  The reviews didn't lie.  This monitor does great on distance.  I have a 2400 sq ft home that has 3 floors.  The bedrooms are on the 3rd floor and most of my housework ended up on the 2nd floor.  I can have this on while vacuuming and still hear my son cry or even move around when he would wake up and not make a sound.  I could hear him grunt even!  I don't know why the one review mentions a 15ft signal loss.  You're given many channels in order to find the right strength.  I could go outside of my home and walk approximately 10 ft away from the garage door and still have signal (he was on opposite end of house upstairs).  I also took the receiver in the shower a couple of times, not getting it soaked.  Also like the voice activated portion but that only works if the room or surrounding area has no sound (no radio or tv or mobile playing).  Great product, strongly recommend.  My son is now 5 months old and the monitor still works great.  This monitor is the right choice for the average household.  Interference may come if you're on the same channel. I have wifi network, cordless digital phones and nextels and do not have any interference with this monitor so others just don't know how to resolve thier issue before blaming the product"
B00006FWVG:working_just_fine!:julia,B00006FWVG,Sony NTM-900 900 MHz BabycallÃ¯Â¿Â½ Nursery Monitor: Baby,baby,1 of 1,5.0,working just fine!,"June 29, 2006",Julia,Connecticut,"This is the first baby monitor we've tried and we are quite happy with it.  We did a good bit of research ahead of time and chose this one because of its features and the reliability.  I like that the receiver unit can plug into the wall.  I don't really like to use the voice-activated mode but my husband does and says it works great.  When in the normal mode, I can hear little birds outside my baby's window and cars passing our house; it's quite sensitive!  I also like the lights on the receiver; you can turn the volume all the way down if you're watching a movie or something"
"B000BKXCCM:a_""must_have"":leslie_jones",B000BKXCCM,Pre-Natal and Newborn Baby Education System 5 Cd Set: Baby,baby,2 of 2,5.0,"A ""Must Have""","November 10, 2005",Leslie Jones,,"In terms of pre-natal resources, this is the best I have found!  The positive results are proven.  I can not think of a reason not to buy this product.  Every expectant parent wants the most and best for their unborn child.  This system is wonderful for interacting with your child before he or she is born.  You will even notice a response from your baby!  It's very exciting"
"B000BTECTA:great_item,_great_price!:mcas_""toy_critic""",B000BTECTA,Happy Baby Bag - Classic Mozart Baby CD/Pig Puppet: Baby,baby,,5.0,"Great item, great price!","September 8, 2006","mcas ""toy critic""",Motown,"I purchased this item (not from Amazon) and my child loved it! The puppet provides hours of entertainment and the music is great, not the usual 'kid-drivel' that usually is part of any kid item.  Some HBB's come with contemporary music and I will be picking up one of those soon.  Highly recommended"
"B0001CJ9XQ:best_buy_-_convenient_&_durable:j._wunderly_""new_mom""",B0001CJ9XQ,Original Bundleme Khaki: Baby,baby,2 of 2,5.0,Best buy - convenient & durable,"June 29, 2006","J. Wunderly ""New mom""",San Diego,"I bought this 2 years ago when I had my first daughter. I used it in her stroller on cool days and could quickly install it on the jogger when going for a run at the beach (where it's usually windy and cooler during the fall). It's very easy to switch from/to any stroller (less than 1 minute). When we visited relatives in Canada at Xmas, I installed the bundleMe on the infant car seat and it kept her warm during our trek from the airport to the parking spot. In San Diego one fall day, when she went down a slide at the park that was still wet, she ended up wearing only a diaper but the BundleMe kept her warm as we walked back home. Never had to worry about losing a blanket on the road, or having enough blankets to keep baby warm, or whether her feet were sticking out of the blankets, lost a shoe/sock, etc.  I am now using the same bundle me with my second child. I'd recommend it to anyone who spends lots of time outdoor taking walks, etc"
