unique_id,asin,product_name,product_type,helpful,rating,title,date,reviewer,reviewer_location,review_text
"B00007LB1E:like_it_but_it_needs_a_remote:shari_di_""shari""",B00007LB1E,Koala Baby Musical Mobile - Locomotion: Baby,baby,1 of 1,4.0,like it but it needs a remote,"February 6, 2005","Shari Di ""Shari""","Cypress,TX USA","My Husband and I loved the look and shapes of the moblie.  My Baby's face just lights up when he's placed in his bed for naps or night time. However we find ourself running back in forth so much because the cute little songs have stopped before he falls asleep.  I was looking online and saw that some of these new mobiles have remotes on them. It would seem that with the all the new things that come out the manufactors would have given the public the option to have a wind up mobile or a remote mobile.  I hope that someone from these places reads these and takes the time to put more thought into what parents would want in future purchases. 

But like as I said before we love the look and love they way my son reacts to it.  So I'll look at this mobile being a weight loss bonus for all the running back and forth"
B00007LB1E:re:__dangerous_from_csm:mom_of_3,B00007LB1E,Koala Baby Musical Mobile - Locomotion: Baby,baby,1 of 1,5.0,Re:  Dangerous from CSM,"February 6, 2005",Mom of 3,"Pittsburgh, PA","I completely understand your concern.  Although, if you read the instructions for ANY mobile, when the child is old enough to sit or stand in the crib (around 6 months), you are supposed to take it off.  They are not built for anyone to play with them.  My son liked his mobile so much that when he was old enough to reach it, we took it off and my husband attached it to the top of his hutch.  This way we were still able to play the song, but he couldn't reach it.  

I think this mobile is a perfect way to add to the room's theme.  For those who looking to buy this mobile, or any other mobile:  Go to the store where you are buying your crib, and try it out.  The people at Babies R Us must have thought I was nuts, because I took the quilt and the mobile from the set I wanted and took them to the crib I was buying.  I was able to determine if the mobile would fit before I bought it, and I got to see how the colors in the bedding looked with the color of the crib.  This eliminated a lot of hassle for me later on with taking the mobile back if it didn't fit"
"B0002U1SFE:love_this_toy!!:hw_""hw""",B0002U1SFE,Baby Einstein Discover and Play Activity Center: Baby,baby,0 of 1,5.0,LOVE THIS TOY!!,"November 12, 2006","HW ""HW""","Kansas City, MO","My daughter loves this toy!  All the activites keep her entertained and it gives us a break, too :"
"B0002U1SFE:fun_for_the_family!:k._saxe_""kims""",B0002U1SFE,Baby Einstein Discover and Play Activity Center: Baby,baby,,5.0,Fun for the Family!,"October 12, 2006","K. Saxe ""KimS""",New Jersey,"Being a fan of the Baby Einstein line of products, I put this on my registry.  What a great gift it turned out to be.  It could entertain my daughter when nothing else did!  She is now 16 months old and too big for it, but when she started watching the Baby Einstein videos, she recognized the characters that were on this center"
"B0002U1SFE:creative,_interactive_fun!:minta_montalbo",B0002U1SFE,Baby Einstein Discover and Play Activity Center: Baby,baby,2 of 2,5.0,"Creative, interactive fun!","October 5, 2006",Minta Montalbo,"Anchorage, AK","I purchased the Baby Einstein Discover and Play center to keep at the office for days my then-5-mnth-old son, Toby, was with me at work. He immediately loved the musical buttons and the sun, and ignored everything else. As he grew, he discovered the other toys one by one. It was exciting to watch him perfecting the different skills necessary to manipulate the activities.

Because I used the Baby Einstein as a secure place for meals, it needed regular cleaning. The seat pops right off for easy cleaning, but the cloth saddle is a little hard to unsnap from the base. Overall, the assembly is pretty easy - I put it together myself and I am NOT mechanically inclined.

I definitely recommend the Baby Einstein activity center. I looked at several other brands and was turned off by all the obnoxious toys and activities. I wanted something Toby could learn from, not just be dazzled by the bells and whistles. I can't say Toby learned any Spanish from the language buttons, but the Baby Einstein kept my son engaged even at 11 months, when his willingness to stay in one place was usually short-lived."
"B0002U1SFE:entertaining_with_or_without_mama!:h._steele_""domestic_godess""",B0002U1SFE,Baby Einstein Discover and Play Activity Center: Baby,baby,,5.0,Entertaining with or without Mama!,"September 22, 2006","H. Steele ""Domestic Godess""","Sandypoint, ID. United States","We loved this because we could play with our daughter (the puppet was fun for us too) but it also kept her busy long enough to cook a meal or read the paper! She liked being upright, and the height adjustments were great for our tall baby...also, it only has ONE battery operated toy so your child is given the opportunity to interact with the toys rather than watch a bunch of flashing lights and music. Saving this for the next child"
B0002U1SFE:wonderful_activity_center:gjghj,B0002U1SFE,Baby Einstein Discover and Play Activity Center: Baby,baby,4 of 4,5.0,Wonderful Activity Center,"August 29, 2006",Gjghj,the other is at Grandmas house,"I have 2 activity centers by different makers (the other is at Grandmas house)so I have something to compare this to. I can honestly say this this Activity Center is worth the extra 15-20 dollars you might have to spend. To begin,the seat swivels easily for the baby to move from one activity to the next. That might not be an important issue for older babies but my daughter was 4 months old when she started to use this and compared to the other exersaucer,it really makes a differnce having a seat she can maneuver. The toys attachments are of great quality and offer a variety of skills for baby to learn from and to be entertained by. I can't say enough positive things about this Activity Center. I highly recommend it as it is both stimulating and entertaining for baby.    "
"B000BXC1AI:my_baby_loves_this:k._hummitsch_""khumms""",B000BXC1AI,Deluxe Jumperoo: Baby,baby,,5.0,my baby loves this,"November 2, 2006","K. Hummitsch ""khumms""","mokena, il usa","We got one of those ""hang in the doorway"" jumpers but we don't really have an good place to hang it so we exchanged it for this.  My baby really has a good time in it, laughing and jumping all over the place!  Recommende"
B000BXC1AI:top_notch_toy:rebecca_cook,B000BXC1AI,Deluxe Jumperoo: Baby,baby,1 of 1,5.0,Top notch toy,"October 21, 2006",Rebecca Cook,It was a poop-eroo for us too.,"We waited until our daughter was [...] to get her this, and it's fantastic!  She's now [...] and it's in storage, but she was using it until she was about [...]  I like that the height is adjustable, the springs are covered, and the seat comes out easily to wash it.  (It was a poop-eroo for us too.)

A few things that I learned using this though is:
The blue spinning toy doesn't come out and yucky stuff can collect underneath it.  It is incredibly hard to clean.
The one that I got was a pain in the tush to get the batteries in, so once the batteries died, we set the kangaroo part aside.
My daughter's feet got rubbed raw when we first got this because she loved jumping in it.  I recommend using a pair of Robeez, or at very least a pair of socks, to protect their feet"
B000BXC1AI:my_5_month_old_loves_this!!!:s._schultz,B000BXC1AI,Deluxe Jumperoo: Baby,baby,2 of 2,4.0,My 5 month old loves this!!!,"October 11, 2006",S. Schultz,USA,"I bought this for my first baby (now 2 1/2). He didn't like to spend much time in the Jumperoo and would only last a couple of minutes. I recently pulled it out and tried my 5 month in it. She was a bit fussy at first but now absolutely loves this. She jumps up and down for an hour, laughing and playing with the toys on the front. Any toy that can keep a 5 month old amused for more than a few minutes is wonderful and so I would definitely recommend it.
I would have given it 5 stars but feel the gadgets on the front could be better"
