unique_id,asin,product_name,product_type,helpful,rating,title,date,reviewer,reviewer_location,review_text
"B0009U8XUU:okay,_but_just_for_a_little_while:mom_of_five",B0009U8XUU,Jonathan Product Redo Freshen-Up Mist For Hair & Skin(R): Beauty,beauty,,2.0,"Okay, but just for a little while","May 5, 2006",Mom of five,"Chandler, AZ USA","I bought this because I have fine hair that needs to be washed every day and I get tired of washing it.  I thought I could use this every other day and get by. 

However, it doesn't make your hair look freshly washed; it is just ok.  It takes ""bed head"" hair and makes it look acceptable for a little while.  After a couple of hours though, my hair looks oily and stringy again.

I use it before I take the kids to school and it gets me thru the morning.  Then I end up washing my hair later"
"B0009U8XUU:missed_the_mark:l._ottaly_""product_junkie""",B0009U8XUU,Jonathan Product Redo Freshen-Up Mist For Hair & Skin(R): Beauty,beauty,,1.0,Missed the mark,"April 29, 2006","L. Ottaly ""Product Junkie""",NJ,"I like Jonathan Anton & some of his products, but this one was a very bad one.  It smelled like swamp water.  His other products smell great.  I don't know what happened to this one. "
B0009U8XUU:jonathan's_redo_freshen_up_mist_for_hair/skin:p._wathen,B0009U8XUU,Jonathan Product Redo Freshen-Up Mist For Hair & Skin(R): Beauty,beauty,0 of 1,1.0,Jonathan's Redo Freshen up Mist for Hair/Skin,"February 23, 2006",P. Wathen,,"I bought this because a friend had it and it smelled wonderfully of roses.  There must be a quality control problem.  My bottle had no noticible, pleasant sent and therefore did nothing to freshen my hair.  I was only trying to go 1 day without washing.  What a disappointing product and a waste of my money.  :"
B0009U8XUU:not_what_you_think_it_is:rosie_jean_skuller,B0009U8XUU,Jonathan Product Redo Freshen-Up Mist For Hair & Skin(R): Beauty,beauty,4 of 16,1.0,Not what you think it is,"June 30, 2005",Rosie Jean Skuller,Pennsylvania,"After using this product, I felt less than fresh.  Then I realized that it is only for use on the hair and skin on your head.  I would have been better off using a can of Evain spray and gotten the same effect at less money"
B0009U8XUU:not_fresh..:divaglam,B0009U8XUU,Jonathan Product Redo Freshen-Up Mist For Hair & Skin(R): Beauty,beauty,12 of 17,1.0,Not fresh..,"June 15, 2005",DivaGlam,California,"I was again disappointed as this did not make me feel ""fresh"".  In fact if you mix it with the Dirt in your hair it causes some type of nasty reaction and your hair becomes sticky and gooey - nothing fresh about it. "
B0009U4OBW:disappointing:shell,B0009U4OBW,Jonathan Product Condition Add Moisture Moisturizing Conditoner(TM): Beauty,beauty,2 of 2,2.0,Disappointing,"May 13, 2006",Shell,"Baltimore, Maryland USA","I saw Jonathan on QVC and was really impressed with the claim that the Moisturizing Conditioner was great for dry/damaged hair.  He also said that his products don't strip the color out of hair like some of the brands on the market.  I color and highlight my hair and wanted something that would protect it.  What a disapointment.  The conditioner bottle is horrible at dispensing even a small amount of conditioner.  I had to remove the lid.  Then, it's like paste...doesn't seem to go through the hair..even after 3 minutes.  When I tried to comb my hair out, it was like a birds nest.  I had to put a spray leave in conditioner, by another line, in my hair just to comb through it.  I ordered it from QVC...and it's going back"
"B0009U4OBW:makes__sephora_look_like_a_cheap_drug_store:danine_mcculloch_""blondie""",B0009U4OBW,Jonathan Product Condition Add Moisture Moisturizing Conditoner(TM): Beauty,beauty,1 of 1,1.0,Makes  Sephora look like a cheap drug store,"April 23, 2006","Danine Mcculloch ""Blondie""",California,"Jonathan Conditioner is as good as a cheap drug store conditioner. Jonathan you can only fool people into buying one bottle of the cheap stuff, you can't fool them twice. I know we will all be seeing Jonathan Product on the clearence rack in a Big Lots with in a year or two"
"B0009U4OBW:shampoo_and_conditioner:nancy_j._neylon_""nancy_j._neylon""",B0009U4OBW,Jonathan Product Condition Add Moisture Moisturizing Conditoner(TM): Beauty,beauty,6 of 6,1.0,SHAMPOO AND CONDITIONER,"January 30, 2006","Nancy J. Neylon ""NANCY J. NEYLON""","ROCHESTER, NY",I WAS VERY UNHAPPY WITH THE PRODUCT!  I WAS GIVEN THE SHAMPOO FOR CHRISTMAS WHICH WHEN WASHING MY HAIR MADE LITTLE TO NO SUDS.  WHEN TRYING TO COMB OUT MY HAIR AFTER SHAMPOOING IT WAS LIKE A BEES NEST AND I COULDN'T POSSIBLY GET A COMB THRU IT.  THATS WHEN I ORDERED THE CONDITIONER WHICH WAS LIKE CAKE BATTER AND COULDN'T GET IT TO COME OUT OF THE CONTAINER WITH REALLY QUEEZING IT WHICH MADE THE LETTERING COME OFF ON TO YOUR HANDS AND I FOUND SOME IN MY HAIR. I SQUEEZE AND BANG UNTIL I FINALLY GET A BIG LUMP COMING OUT.  I HAD WATCHED ALL OF JONATHAN'S REALITY SHOWS WHEN HE WAS WORKING ON CREATING HIS PRODUCTS AND COULDN'T WAIT TO TRY THEM BECAUSE THEY ARE ALL NATURAL. I AM SO DISAPPOINTED!  I RECENTLY SAW HIS SHOW BACK TV WHERE SOMEONE CALLS HIM UP AND SAYS THEY TRIED HIS PRODUCT AND HOW HAPPY THEY WERE AND JONATHAN GETS ALL CHOCKED UP.  I WAS SCREAMING AT THE TV I WAS SO UPSET.  THE PRODUCT WAS NOT CHEAP AND CAN'T BELIEVE I CAN'T USE SOMETHING I SPENT SO MUCH MONEY ON. 
B0009U4OBW:hastily_packaged_ok_product:mandy,B0009U4OBW,Jonathan Product Condition Add Moisture Moisturizing Conditoner(TM): Beauty,beauty,4 of 4,2.0,Hastily packaged OK product,"September 9, 2005",Mandy,CA,"On a scale of 1 to 5, the packaging gets a negative 1. You can't sqeeze the conditioner out of the bottle, ended up removing top.

For value of product, Jonathan gets a 1.

For quality of product 3.

The conditioner feels like vegetable shortening or softened butter. Need to use more than average. The conditioner is average in detangling and after using it four times it does condition your hair, but no better than other quality brands. I do like that it seems to cut down on the drying time, but Bed Head has a similar product that's been out for a while. For that option I would rather choose Bed Head for quality and price"
"B0009U4OBW:lousy...:hairfan_""hairfan""",B0009U4OBW,Jonathan Product Condition Add Moisture Moisturizing Conditoner(TM): Beauty,beauty,6 of 9,1.0,Lousy...,"August 6, 2005","hairfan ""hairfan""",,Jonathan should spent more time with Scott from Zorbitt because the packaging is second rate.  The product itself was subpar also
B0009U4OBW:ick:pumpkin_pie,B0009U4OBW,Jonathan Product Condition Add Moisture Moisturizing Conditoner(TM): Beauty,beauty,9 of 10,1.0,ick,"July 18, 2005",Pumpkin Pie,Bawlmer,"Used along with Shampoo Theory, my hair turned out worse than it ever had.  Not recommended, at least for medium/wavy hair.  No frizz control"
B0009U4OBW:save_your_money:whatevia_santiago,B0009U4OBW,Jonathan Product Condition Add Moisture Moisturizing Conditoner(TM): Beauty,beauty,4 of 7,1.0,save your money,"July 8, 2005",Whatevia Santiago,,"Unless you have a new softball glove to break in, this product is not for you. Way, way too much oil.  Just nappy. I might as well have put mayo in my hair."
"B0009U4YBM:pointless_product:joanne_m._pakron_""michelle""",B0009U4YBM,Jonathan Product Create Curl Curling Serum(TM): Beauty,beauty,2 of 2,2.0,pointless product,"June 16, 2006","Joanne M. Pakron ""Michelle""",New Orleans,"I had high hopes for this stuff. I have watched Blow Out and know that he knows his stuff when it comes to hair, but I cant seem to get this stuff to actually do anything for my curls and waves. I have tried it on wet hair, damp hair, dry hair-no discernable difference. I will stick to my Frederic Fekkai products-they actually work"
B0009U4YBM:suave_gel_works_better:l._holder,B0009U4YBM,Jonathan Product Create Curl Curling Serum(TM): Beauty,beauty,8 of 9,2.0,Suave gel works better,"August 26, 2005",L. HOLDER,Oklahoma City,"I spent a lot of money on this product & waited with anticipation for it to arrive. When I applied it, it did nothing to ""create"" curl and didn't even define the curls that I already had. My hair was limp and frizzy by days end. It smelled nice & that's about it. Cheap-o Suave gel or mousse works better and creating and holding curl"
"B0009U4YA8:i_am_""finished""_with_this_spray........yuck!!!!:sooozun",B0009U4YA8,Jonathan Product Finish Hold Firm Hold Spray(R): Beauty,beauty,6 of 8,1.0,"I am ""FINISHED"" WITH THIS SPRAY........YUCK!!!!","July 22, 2005",SOOOZUN,SAN FRANCISCO,"THIS HAIRSPRAY WAS TOO WET AND TOO STIFF.  IT RUINED MY CLEAN, FRESHLY WASHED HAIR AND MADE MY BLONDE LOCKS STIFF AND DARKER - YUCK!!!!

I LOVE THE VOLUMINIZING SHAMPOO & CONDITIONER AS WELL AS THE VOLUMINIZING FOAM - BUT WHEN I LIGHTLY SPRAYED THE ""FINISHING"" HAIR SPRAY- IT RUINED EVERYTHING.  I WILL STICK TO AN AREOSOL HAIRSPRAY INSTREAD OF A PUMP.  SORRY JONATHAN : "
"B0009U4OF8:shampglue:p._moran_""p""",B0009U4OF8,Jonathan Product Shampoo Add Moisture Moisturizing Shampoo(TM): Beauty,beauty,0 of 1,1.0,Shampglue,"September 16, 2006","P. Moran ""P""",MN,"If you buy this shampoo, buy something else with it to get this glue out of your hair. I guarantee you will be disappointed, it is the equivalent of Herbal Essence. (also leaves your hair like glue"
"B0009U4OF8:disappointed!:jim_mitchell_""rachaelmitchell""",B0009U4OF8,Jonathan Product Shampoo Add Moisture Moisturizing Shampoo(TM): Beauty,beauty,1 of 2,1.0,Disappointed!,"July 29, 2006","Jim Mitchell ""rachaelmitchell""",," This shampoo made my hair flat and dry when I used it every day.So,I tried using another shampoo and used Jonathan's once a week.The one day I used Jonathan shampoo my hair was noticably flat and dull.I ended up throwing it in the trash and went back to my old shampoo.What a disappointment"
"B0009U4OF8:a_huge_disappointment:cynthia_a._ramirez_""satellite_diva""",B0009U4OF8,Jonathan Product Shampoo Add Moisture Moisturizing Shampoo(TM): Beauty,beauty,3 of 4,1.0,A HUGE DISAPPOINTMENT,"July 23, 2006","Cynthia A. Ramirez ""Satellite Diva""","Huntington Beach, CA","RUN AS FAST AS YOU CAN... DO NOT TRY!  Okay, so I bought in to the hype of ""Blow Out"".  Once I saw the ""JONATHAN"" product line on the shelf, I thought, ""Hmmm, how yummy!""  Boy, was I disappointed.  The moisturizing shampoo was anything but!  The product felt like a mixture of tree sap and glue.  Once applied to the hair, I felt knots forming.  Upon rinsing, my hair like it had been stripped!  I used lots of the companion conditioner hoping for a balancing act, but was left aghast when I rinsed and felt the ""new"" texture of my hair.  I couldn't comb it out with a wide tooth comb until I applied a leave in conditioner from another product line!  Once dry, my hair felt gritty, brittle and generally nasty.  I'M TAKING THIS STUFF BACK AND DEMANDING A REFUND!  I'm going back to my Frederick Fekkai products immediately"
"B0009U4OF8:horrible,_terrible,_pathetic,_worthless,_etc._:sylvia_novotny_""sylvie""",B0009U4OF8,Jonathan Product Shampoo Add Moisture Moisturizing Shampoo(TM): Beauty,beauty,4 of 6,1.0,"Horrible, terrible, pathetic, worthless, etc. ","May 15, 2006","Sylvia Novotny ""Sylvie""","Houston, TX USA","Watching the show I thought that Jonathan really cared about hair and its no doubt that he does still but his shampoo leaves alot to be desired. For example, even in the hot, very humid atmosphere of Houston, TX it left my hair feeling dry and unhealthy, even after using his conditioner (alot of it). My hair looks awful after using it. And the bottle claims that it doesn't use toxic ingredients like MEA but it DOES use three different types of PEG, a petroleum based thicker found in most bath products that can erode wooden tables in just minutes. This is just as harmful as MEA, especially for people with sensitive scalps and hair. And it claims not to strip your hair but the products that are supposed to cleanse are much less apparent in the product than the PEG products. Since PEG is a thickener, you're also getting a diluted, toxic, solution. Even though Head and shoulders uses MEA I find that that even that works better than this. My hair doesn't feel like it has any more of its essential oils and I've switched back to the other hair products Iv'e been using. It's not worth your 20 dollars, its barely worth 5 dollars. My hair stylist also recommended Dove products if you need hydration. DON'T BUY IT!"
B0009U4OF8:love_the_shampoo.:p._vetter,B0009U4OF8,Jonathan Product Shampoo Add Moisture Moisturizing Shampoo(TM): Beauty,beauty,1 of 3,1.0,Love the shampoo.,"March 27, 2006",P. Vetter,The OC,"I used a sample and liked the fact that it cleaned my hair the way I want my hair cleaned.
 Not washed with useless lather and coated with all kind of smoothening silicon products. People have beconme so used to the mass produced garbage that is sold in gorcery stores, that they do not realize they are paying for detergent. In the long run it is damaging for the hair and after some hours it really does not have that nice clean bounce that hair is supposed to have.
Jonathan is not the only good product out there. I have been using Phyto Shampoo from France and Kiehl's, both don't have the silicon smoothers either and yes, the hair does feel like straw right after you wash it. Get a big tooth comb and some guts and go through life with really clean hair!!!!
I used my sample and will buy a big bottle of the Shampoo. I have not tried the conditioner, but will try it too."
"B0009U4OF8:what_is_it??:me_mum_""nicci""",B0009U4OF8,Jonathan Product Shampoo Add Moisture Moisturizing Shampoo(TM): Beauty,beauty,0 of 1,1.0,What Is It??,"January 6, 2006","Me Mum ""Nicci""",VA,"Is this shampoo or sap??  What exactly is it supposed to do??  I received a sample of this shampoo and I am ever so glad I got to try it free before I actually spent money on it.  Not only did my hair feel like straw, as mentioned by other reviewers, but it was so heavy I couldn't do anything except rewash it with my regular shampoo.  I'll save this one for Halloween. "
B0009U4OF8:terrible:m._freeze,B0009U4OF8,Jonathan Product Shampoo Add Moisture Moisturizing Shampoo(TM): Beauty,beauty,2 of 2,1.0,Terrible,"December 6, 2005",M. Freeze,"Franklin, TN","I see several previous reviews that acknowledge the fact that this shampoo leaves your hair feeling like ""straw"" yet say that is because this shampoo leaves your hair so clean!  Are you kidding me?  If having ""clean"" hair means having my hair feel like straw and it does literally feel like straw, then I'll happily return to having ""dirty"" hair...seriously, I've had smoother, softer hair from drugstore shampoos that cost .99 than this 20 dollar shampoo and conditioner!  I could not even run a comb through my hair while it was wet because this product left my hair feeling so rough! I have rather dry hair, and I merely tried this product on a lark, just to see if it was any good because I am a fan of Jonathan and his show, so I will return to my drugstore shampoo, Dove and Pantene which have always worked well for my dry hair. "
"B0009UAPM4:if_i_wanted_straw_for_hair,_i'd_be_asking_the_wizard_of_oz_for_a_brain....:sue_k.",B0009UAPM4,Jonathan Product Condition Serious Volume Volumizing Conditioner(TM): Beauty,beauty,,1.0,"If I wanted straw for hair, I'd be asking the Wizard of Oz for a brain....","March 31, 2006",Sue K.,PA,"Okay, I'll admit. I bought into the hype. Oooo, no ""sulfates""... Oooo, ""essential water"".... Oooo, ""all natural"" - no animals sacrificed in the making or testing of this - ""vegan"" shampoo and conditioner...

I headed into the shower with confidence that I had finally dumped $35 on a shampoo and conditioner set that would make a difference to my fine straight hair. And what a difference it made...the volume created by the products was all flyaway hair: styled by the static electricity generated by my hair being devoided of any moisture that it once held by this lovely ""dessicant"" shampoo. And no amount of the so-called conditioner helped to right the wrong! I tried various amounts of conditioner and left it on for longer and longer periods of time without any change in results. After 3 days of feeling the wicked witch of the west was having better hair days than I was, I returned the product.

This product truly deserves 0 stars!!"
B0009UAPM4:not_so_good:j._smith,B0009UAPM4,Jonathan Product Condition Serious Volume Volumizing Conditioner(TM): Beauty,beauty,0 of 1,1.0,Not so good,"October 10, 2005",J. SMITH,Dallas,"I was excited to purchase Jonathan product after watching two seasons of Blow Out.  Unfortunately, I was really disappointed after using this conditioner on my hair.  My hair is very thick and after using this conditioner it left my hair a sticky and tangled mess.

Unfortunately, the fragrance of the conditioner is great but that's about it"
"B0009UAPM4:just_terrible:katyn_b._sorenson_""katie""",B0009UAPM4,Jonathan Product Condition Serious Volume Volumizing Conditioner(TM): Beauty,beauty,2 of 2,1.0,Just terrible,"October 1, 2005","Katyn B. Sorenson ""Katie""",Ohio,"I purchased this item after seeing Jonathan's show.  As much as I enjoyed his program, I am sorry to say that this product is just terrible.  It weighed down my hair, and made my hair look greasy before I was even done styling!  The day after using the product, my hair looked like an oil slick!  I DO wish Jonathan much success, but these products need a lot of work.  Very disappointing after spending almost 60$ for two bottles that remain full in the back of my cupboard"
"B0009UAPM4:too_drippy:lana_h._neveu_""lana""",B0009UAPM4,Jonathan Product Condition Serious Volume Volumizing Conditioner(TM): Beauty,beauty,,2.0,Too drippy,"September 27, 2005","Lana H. Neveu ""Lana""","Albany, NY",My naturally curly hair is thinning and I thought this conditioner would be helpful. The conditioner did not handle the tangles in my hair nor did it make it feel conditioned. I thought it was too drippy. I nearly used half a bottle by pouring it into my hand. I would not recommend this conditioner
B0009U8XVE:this_product_doesn't_deserve_all_the_rave_reviews_it's_geting...:ziggy,B0009U8XVE,Jonathan Product Create Volume Thickening Foam(TM): Beauty,beauty,2 of 5,2.0,This product doesn't deserve all the rave reviews it's geting...,"April 30, 2006",Ziggy,,This foam product by Jonathan is okay.  The reviews on his products are highly overrated.  The price doesn't bother me at all.  There are better foams for thin and limp hair
B0009U8XVE:want_frizzy_hair?!:marisa_milano,B0009U8XVE,Jonathan Product Create Volume Thickening Foam(TM): Beauty,beauty,2 of 3,1.0,want FRIZZY hair?!,"February 23, 2006",marisa milano,"boston, ma","This product totally frizzed out my hair. I had been having good luck for once with Paul Mitchell's foaming mousse. This Jonathan product,sadly, rather than taming my hair, induced the frizz. A lot. Perhaps a stronger formula is needed, or maybe I just don't have fine, limp enough hair I was very sad"
"B0009U8XUK:only_works_with_curling_iron:seasuzie40_""seasuzie""",B0009U8XUK,Jonathan Product Dirt Texturizing Paste(R): Beauty,beauty,1 of 1,2.0,Only works with curling iron,"April 12, 2006","seasuzie40 ""seasuzie""",Long Island,This product works well when I use it with a curling iron.  The low rating is for the cost.  I just don't think it is worth over $20
"B0009U8XUK:i_was_so_disapointed!!_it_made_my_wonderful_hair_dirty_alright,_right_away!!!he_needs_to_redo_product!and_i_am_a_personal_fan_:linda_barton_""former_aveda""",B0009U8XUK,Jonathan Product Dirt Texturizing Paste(R): Beauty,beauty,1 of 4,1.0,"I WAS SO DISAPOINTED!! IT MADE MY WONDERFUL HAIR DIRTY ALRIGHT, RIGHT AWAY!!!HE NEEDS TO REDO PRODUCT!AND I AM A PERSONAL FAN ","April 12, 2006","Linda Barton ""FORMER AVEDA""",MINNESOTA,PRODUCT MADE MY HAIR STICKY AND GOOEY. I AM A PERSONAL FAN OF HIS AND IT GOT RUSHED TO MARKET.  NEEDS RE FORMULATIN
