unique_id,asin,product_name,product_type,helpful,rating,title,date,reviewer,reviewer_location,review_text
B0009U8XUU:one_of_the_products_i_am_pleased_with!:maggierose,B0009U8XUU,Jonathan Product Redo Freshen-Up Mist For Hair & Skin(R): Beauty,beauty,9 of 14,4.0,One of the products I am pleased with!,"July 3, 2005",maggierose,"Long Island, NY","I bought the Shampoo Theory and Condition Theory and this Redo Freshen-Up Mist. I have normal-type hair that needs to be washed every other day -- and if I use a lot of product, it needs to be washed every day. I have very sensitive skin too. This mist worked very well on my hair, definitely freshened it up and allowed me to restyle it with a quick blow dry. And it feels awesome on my skin. Well done, Jonathan"
B000BIPRGS:just_buy_the_aquasana_cause_that's_what_it_is:a._minassian,B000BIPRGS,Jonathan Product Beauty Water Shower Purification System(TM): Beauty,beauty,4 of 6,5.0,Just buy the Aquasana cause that's what it is,"May 15, 2006",A. minassian,,If Jonathan wants to sell environmentally concious products he should promote it in his other hairstyling products. The aquasana shower filter  is an excellent product which i use .Whats it matter who's name is on it. It is what it is and it will leave your skin and hair feeling fresher.
B0009U4OBW:smells_really_good:michael_c._cheng,B0009U4OBW,Jonathan Product Condition Add Moisture Moisturizing Conditoner(TM): Beauty,beauty,1 of 4,4.0,Smells really good,"November 22, 2005",Michael C. Cheng,New York City,"Well first off, I'm a guy with very short hair...so I don't know whether or not it really works. But I'm bored and decided to rate it anyway. So here goes:

Cons

Conditioner is really thick and difficult to get out of the bottle. The best solution for this is to let the bottle sit upside down. 

Pros

Smells DAMN good. I'm not a big fan of fruity/coconut aromas, but I like this particular smell so much that I might need to go to rehab sometime in the future. 


Bottom Line: Although this conditioner is difficult to get out of the bottle, it smells really good. Whether or not it will work for your hair, the only way to know is to try it. And even if ot doesn't work for your hair...it's worth the 20 bucks just to open it up and smell it every now and then. =)"
"B0009U4YBM:sweet_candy:candy_l._mejia_""sweet_candy""",B0009U4YBM,Jonathan Product Create Curl Curling Serum(TM): Beauty,beauty,7 of 18,5.0,SWEET CANDY,"July 6, 2005","Candy L. Mejia ""SWEET CANDY""",CALIFORNIA,"I LOVE JONATHAN PRODUCTS.  AND ESPECIALLY HOW IT MAKES MY HAIR
FEEL, SO SOFT AND SEXY LOOKING.  KEEP UP THE GOOD WORK JONATHAN"
B0009U4YA8:the_perfect__hair_spray:lesa_a._alder,B0009U4YA8,Jonathan Product Finish Hold Firm Hold Spray(R): Beauty,beauty,3 of 3,5.0,The perfect  hair spray,"September 7, 2005",Lesa A. Alder,,"Finish firm hold spray is absolutely perfect for my needs.  It has a firm hold yet isn't heavy or ""hard"". I don't have a complicated hair style but my hair tends to go flat after just a few hours.  This product prevents that"
B0009U4OF8:the_best_shampoo_ever!:l._huffman,B0009U4OF8,Jonathan Product Shampoo Add Moisture Moisturizing Shampoo(TM): Beauty,beauty,1 of 2,5.0,The best shampoo EVER!,"April 16, 2006",L. Huffman,Jax Beach,"This is absolutely the greatest shampoo ever! I've been abusing my hair for at least 30 years, and I have never had my hair looking and feeling as healthy as it does now. There is no better product for your hair on the market. All others are full of damaging detergents and chemicals with a dose of silicone thrown in to make you think your hair is clean, but you're killing it. I admire Jonathan for not treating us like idiots by being THE ONLY shampoo that doesn't tell you to lather, shampoo, and rinse twice, but you do need to. And you need to use no more than a dime-size amount of the Jonathan conditioner. My hair has never looked or felt so good"
"B0009U4OF8:very_picky:""lucy""",B0009U4OF8,Jonathan Product Shampoo Add Moisture Moisturizing Shampoo(TM): Beauty,beauty,1 of 2,5.0,Very Picky,"February 26, 2006","""Lucy""","New Orleans, LA",Very picky about shampoo and this a really good for dry color treated hair.  I can tell it has made a difference
B0009U8XVE:love_jonathan_create_volume_thickening_foam:j._michael,B0009U8XVE,Jonathan Product Create Volume Thickening Foam(TM): Beauty,beauty,7 of 8,5.0,Love Jonathan Create Volume Thickening Foam,"July 27, 2005",J. Michael,",  USA","It's the best product I've used to create volume and hold.  I didn't notice it after blow drying, but, while using the curling iron and styling - my hair had a lot more volume and great hold.  I have straight, fine, limp hair and it is very difficult to get it to hold a style.  I truely noticed a big difference.  I plan to purchase the other volumizing products, once they are in stock."
"B0009U8XVE:i_love_it!:teresa_g._mason_""emsmominok""",B0009U8XVE,Jonathan Product Create Volume Thickening Foam(TM): Beauty,beauty,13 of 16,5.0,I love it!,"June 16, 2005","Teresa G. Mason ""emsmominok""","tulsa, ok","I have tried just about every hair product on the market and this very much surpassed my expectations! I wasn't sure when I put it in my hair, but as I was styling it, I was amazed. It created a lot of volume and my hair stayed shiny. I am ready to try the rest of the product line"
B0009U8XUK:the_best_styling_tool_available:santel,B0009U8XUK,Jonathan Product Dirt Texturizing Paste(R): Beauty,beauty,1 of 1,5.0,The best styling tool available,"April 16, 2006",santel,"Portland, OR USA",This works great on short and long hair and you can use wet or dry. I have long hair and I love using this product. It works great for those evenings after a long day and you want to give your hair new life. Fantastic
