unique_id,asin,product_name,product_type,helpful,rating,title,date,reviewer,reviewer_location,review_text
B0009U8XUU:works_great_for_me!:labelwhore,B0009U8XUU,Jonathan Product Redo Freshen-Up Mist For Hair & Skin(R): Beauty,beauty,,4.0,works great for me!,"August 20, 2006",labelwhore,"San Jose, CA","I think that this product does what it promises to do.  It is a ""freshen-up"" mist.  I use it everymorning (I shower before bed) before I blowdry my hair and it creates volume and makes my hair look awesome!  It is only short of the full 5 stars because it does not last all day, but it is definitely good for a few hours.  Even after it wears off, my hair is not flat.  It still has enough texture that I can just put my hands through it to get the ""messy"" look.

I don't think that it smells bad.  The smell actually reminds me of some spa products taht I use"
B0009U8XUU:florida_gator_girl:florida_gator_girl,B0009U8XUU,Jonathan Product Redo Freshen-Up Mist For Hair & Skin(R): Beauty,beauty,1 of 3,4.0,Florida Gator Girl,"February 3, 2006",Florida Gator Girl,"Orlando, Florida","What is wrong with everyone reviewing these products?  This is for your HAIR and SCALP, not the face.  Again, after experimenting a few times, if it doesn't work, just say so and state the facts, not hype and your feelings for Jonathan and his show on television"
"B0009U8XUU:great_product!:c._bouvier_""beauty_junkie""",B0009U8XUU,Jonathan Product Redo Freshen-Up Mist For Hair & Skin(R): Beauty,beauty,6 of 10,4.0,GREAT product!,"July 5, 2005","C. Bouvier ""Beauty Junkie""","Richmond, VA","This is a great idea for a product! For those of you who don't wash your hair every day, this is a great way to keep it looking and smelling fresh on days you don't wash it. I used this after 5 days without washing, and while it might have worked better within 3 or 4 days, it still freshened my hair and made it beautiful! Well done"
B000BIPRGS:immediate_difference!:m._cpak,B000BIPRGS,Jonathan Product Beauty Water Shower Purification System(TM): Beauty,beauty,15 of 17,5.0,Immediate difference!,"April 1, 2006",M. Cpak,"Columbus, OH United States","I moved to an area with city water (which I was not used to), not too long ago.  I noticed that my hair and skin seemed to turn dull and gray after some time.  No matter what hair and skin products I tried using, the result was the same.  After reading about this product in a health magazine, I decided to give it a shot since it received such high praise.  I am thrilled with my purchase!  I saw almost instant results.  My skin has never felt softer.  The filter system itself was very easy to install and required no tools.  For anyone with harsh, chlorine laden city water, I highly recommend this product"
"B000BIPRGS:so_far,_so_good!:peggy_johnson",B000BIPRGS,Jonathan Product Beauty Water Shower Purification System(TM): Beauty,beauty,30 of 35,5.0,"So far, so good!","November 28, 2005",Peggy Johnson,"Mahwah, NJ",I purchased a Beauty Water Shower Purification System and have used it about 5 times now with fantastic results. I have very hard water in my home and am tired of constantly having to blow dry my hair or having to use tons of products for it to be manageable and not frizzy.  My hair felt very soft and manageable using this product and I am hoping it helps my highlights last longer.  I did not experience that 'slimy' feeling people usually associate with soft water.  I'm even able to let my hair air dry and not be frizzy with this product.  I am curious to see how long this filter lasts.  I called Jonathan Products and was told that they do have a replacement filter that costs $55 so you can save a bit of money when you need to replace the filter
"B0009U4OBW:was_skeptical,_big_fan_now!!:judy_c",B0009U4OBW,Jonathan Product Condition Add Moisture Moisturizing Conditoner(TM): Beauty,beauty,2 of 4,5.0,"Was skeptical, big fan now!!","August 14, 2005",Judy C,Atlanta,"I watched Blow Out and figured the product was flying off the shelves because of the show's popularity.  I ordered some because the ingredients sounded nice, plus he did seem sincere when formulating, etc.  I have blonde hair, color treated, thick, long lengths.  I've bought high-end hair products for 20 yrs from beauty salons and stores and have never used anything that made my hair feel like Jonathan Product.  You can immediately tell it's stripping and cleansing your hair.  Then, the conditioner,  with it's exotic fragrance,  is the most wonderful conditioning treatment I've ever used.  My hair looks cleaner and has more body than ever before with just shampoo & conditioner.  I'll use it as long as it's available to me"
B0009U4OBW:great_hair:janet,B0009U4OBW,Jonathan Product Condition Add Moisture Moisturizing Conditoner(TM): Beauty,beauty,1 of 4,5.0,great hair,"July 17, 2005",janet,"charleston, sc","My hair has gone from unruly frizzy to smooth and silky.  I always use good products from the salon, but this is the best I have used"
B0008IV7BU:perfect:bluespeed9,B0008IV7BU,American Crew Fiber 3.53 oz: Beauty,beauty,,5.0,Perfect,"August 31, 2006",BlueSpeed9,rain won't ruin your hair,"Some highlights are the all day long hold, ease of use, resistance to moisture (rain won't ruin your hair), low shine, strong yet natural hold, and good smell (which is rare).

I've used numerous hair products before but now, this is the only one I ever consider using"
B0002356WW:excellent_hold_and_no_gloss:d._g._huang,B0002356WW,American Crew Fiber: Beauty,beauty,1 of 1,5.0,Excellent hold and no gloss,"January 13, 2006",D. G. Huang,Chicago,"I am a big fan of this product.  My hair is very strong.  It needs a product which can keep it tamed.  However, most products that have that level of strength also come with high sheen or gloss which, in my opinion, is a bad look for today's fashions.  The matte look is more flexible.  American Crew Fiber gives me pliability and a matte look with a very strong hold.  It also smells nice.... not to strong and not too girly"
B0002356WW:great_product:gerardo_king,B0002356WW,American Crew Fiber: Beauty,beauty,,5.0,Great Product,"November 10, 2005",Gerardo King,"Lima, Peru","I have been using this product for over 5 years as an alternative to gel or bed head.  The results are great. No unwated shine, no gooiness, very easy to wash off. 
Your hair wont feel stiff and wont get damaged. Reasonably priced and more available every day. "
"B0002356WW:smells_good,_goes_far.:mrpuddles",B0002356WW,American Crew Fiber: Beauty,beauty,1 of 1,5.0,"Smells good, goes far.","April 18, 2005",MrPuddles,Texas,"This is a great product for getting the bed head look.  I can use approximately a dime size worth in my palms and go wild!  Trust me, the results are great.  If you apply too much, you're hair will get oily. The good thing is that this product washes out easily with any Shampoo"
